Title,Skill Level,Yarn Weight,Fiber Type,Yardage,Category,Hook Size,Pattern Link
Clematis Headband,Intermediate,Worsted,Cotton,190,,E/4 (3.5mm) crochet hook,https://www.crochet.com/clematis-headband/p/55071
Closing Fans Crochet Shawl,Intermediate,DK,Wool,700,,I/5.5mm crochet hook,https://www.crochet.com/closing-fans-crochet-shawl/p/12287D
Cloud Nine Hair Towel,Intermediate,"DK, Worsted",Cotton,615-738,,E/4 (3.5mm) crochet hook & L/11 (8.0mm) Tunisian hook,https://www.crochet.com/cloud-nine-hair-towel/p/55076
Clover Fan Infinity Scarf,Intermediate,Fingering,Wool,693,,E/3.5mm crochet hook,https://www.crochet.com/clover-fan-infinity-scarf/p/18891D
Coastal Sun Tote,Beginner,Worsted,Cotton,325,,J/6.0mm crochet hook,https://www.crochet.com/coastal-sun-tote/p/15928D
Cobblestone Path Cowl,Intermediate,Sport,Cotton,170,,G/4.0mm crochet hook,https://www.crochet.com/cobblestone-path-cowl/p/18694D
Cobblestone Sweater Dress,Intermediate,DK,Alpaca,1476-2980,Crochet,E/3.5mm crochet hook,https://www.crochet.com/cobblestone-sweater-dress/p/18905D
Cockatiel Planter,Intermediate,Worsted,Acrylic,192,,"G/4.0mm crochet hook, J/6.0mm crochet hook",https://www.crochet.com/cockatiel-planter/p/18774D
Coco Jacket,Beginner,Worsted,Wool,1110-2395,,H/5.0mm crochet hook,https://www.crochet.com/coco-jacket/p/15910D
Coconut Macaroon Sweater Dress,Intermediate,Worsted,Wool,1540-2750,,H/5.0mm crochet hook,https://www.crochet.com/coconut-macaroon-sweater-dress/p/18298D
Coffee Break Pullover,Intermediate,"Aran/Heavy Worsted, Bulky",Cotton,994-2130,Crochet,US K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/coffee-break-pullover/p/55096D
Cold Snap Shawl,Intermediate,Bulky,Alpaca,568,,K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/cold-snap-shawl/p/55031D
Color Block Cushion,Intermediate,Worsted,Wool,1248,,US I/9 (5.5mm) Crochet Hook,https://www.crochet.com/color-block-cushion/p/58015
Color Pop Super Scarf,Intermediate,Bulky,Wool,685,,Size N/P (10mm): hook,https://www.crochet.com/color-pop-super-scarf/p/58217
Colorblock Cat Pin,Intermediate,Worsted,Acrylic,26,,Size E/4 (3.5mm) hook,https://www.crochet.com/colorblock-cat-pin/p/17782D
Colorwork Yoke Sweater,Intermediate,Worsted,Wool,2000-3750,,US 7 (4.5mm) & US H/8 (5.00mm) Crochet Hook,https://www.crochet.com/colorwork-yoke-sweater/p/58026
Comet Keyhole Tunisian Scarf,Intermediate,Worsted,,594,Crochet,US L/11 (8mm) Tunisian Crochet hook,https://www.crochet.com/comet-keyhole-tunisian-scarf/p/55137D
Comfort Crochet Pet Blanket,Intermediate,Bulky,Acrylic,544-952,,US 15/N (9mm) crochet hook  or size to obtain gauge,https://www.crochet.com/comfort-crochet-pet-blanket/p/55687
Comfy Boyfriend Crochet Sweater,Intermediate,DK,Alpaca,1230-2829,,I/5.5mm and K/6.5mm crochet hooks,https://www.crochet.com/comfy-boyfriend-crochet-sweater/p/10129D
Concentric Coaster,Beginner,Sport,Cotton,24,,E/3.5mm crochet hook,https://www.crochet.com/concentric-coaster/p/12426D
Confetti Dots Granny Blanket,Intermediate,Worsted,Acrylic,2834-4360,,I/5.5mm crochet hook,https://www.crochet.com/confetti-dots-granny-blanket/p/18584D
Conifer Scarf,Intermediate,Bulky,,959,Crochet,US L/11 (8mm) Crochet hook,https://www.crochet.com/conifer-scarf/p/58294
Contessa Cropped Pullover,Intermediate,Fingering,Wool,1071-2245,Crochet,F/3.75mm crochet hook,https://www.crochet.com/contessa-cropped-pullover/p/18064D
Cottage Cozy Tissue Topper,Intermediate,"Worsted, DK",Cotton,369,,Sizes H/8 (5.0mm) & I/9 (5.5mm) Crochet hook,https://www.crochet.com/cottage-cozy-tissue-topper/p/54028D
Cove,Intermediate,DK,Wool,405,,H/5.0mm crochet hook,https://www.crochet.com/cove/p/18195D
Cow Card Wallet,Intermediate,"DK, Worsted",Acrylic,95,,H/5.0mm crochet hook,https://www.crochet.com/cow-card-wallet/p/15897D
Cozy Cocoon Sweater,Intermediate,Bulky,Wool,762-1270,,L/8.0mm crochet hook,https://www.crochet.com/cozy-cocoon-sweater/p/15591D
Cozy Infinity Scarf,Intermediate,"Bulky, Aran/Heavy Worsted",Wool,579,,Size K/10½ (6.5mm) Crochet hook,https://www.crochet.com/cozy-infinity-scarf/p/58160
Creepy Crawly Spider Sock,Intermediate,Fingering,Wool,442,,E/3.5mm crochet hook,https://www.crochet.com/creepy-crawly-spider-sock/p/15044D
Crochet Advent Calendar,Beginner,Worsted,,350,Crochet,G/4.0mm crochet hook,https://www.crochet.com/crochet-advent-calendar/p/N4252
Crochet Baby Bunny,Beginner,"DK, Worsted",Acrylic,32,,Size E/4 (3.5mm): crochet hook,https://www.crochet.com/crochet-baby-bunny/p/12720D
Crochet Throw,Beginner,Jumbo,,234,Crochet,Crochet hook U-50 (25 mm),https://www.crochet.com/crochet-throw/p/N3747
Crochet Zoo of Animals Hats,Beginner,Worsted,Wool,370-520,,Size I (5.5mm) (for S & L) or Size G (4.5mm): crochet hook,https://www.crochet.com/crochet-zoo-of-animals-hats/p/12483D
Crocheted Kitchen Rug,Intermediate,Worsted,Cotton,1520,Crochet,L/8.00mm crochet hook,https://www.crochet.com/crocheted-kitchen-rug/p/51306D
Crocheted Tennis Sneakers and Cap,Intermediate,Sport,Cotton,205-295,,"D/3.25mm crochet hook, E/3.5mm crochet hook",https://www.crochet.com/crocheted-tennis-sneakers-and-cap/p/18822D
Crop Or Not Cardi,Intermediate,Bulky,Acrylic,560-1830,,K/6.5mm crochet hook,https://www.crochet.com/crop-or-not-cardi/p/18300D
Cross Cable Pillow and Wall Hanging,Intermediate,Bulky,Cotton,500-1240,,I/5.5mm crochet hook,https://www.crochet.com/cross-cable-pillow-and-wall-hanging/p/18766D
Cross Country Cardigan,Intermediate,Bulky,,1704-2698,Crochet,US G/6 (4.0mm) & I/9 (5.5mm) Crochet hook,https://www.crochet.com/cross-country-cardigan/p/55143D
Crossbody Froggy Bag,Intermediate,Worsted,Acrylic,216,,E/3.5mm crochet hook,https://www.crochet.com/crossbody-froggy-bag/p/18841D
Crumpet Shawl,Intermediate,"DK, Worsted",,984,Crochet,US G/6 (4.25mm) Crochet hook,https://www.crochet.com/crumpet-shawl/p/56363
Crush Beanie,Intermediate,Worsted,Acrylic,1090,,H/5.0mm crochet hook,https://www.crochet.com/crush-beanie/p/18197D
Cumberland Tank,Intermediate,Worsted,Acrylic,738-1722,,I /5.5 mm & J/6 crochet hook,https://www.crochet.com/cumberland-tank/p/18789D
Cute Cat Eye Mask,Intermediate,DK,Cotton,15-90,Crochet,E/3.5mm crochet hook,https://www.crochet.com/cute-cat-eye-mask/p/15905D
Cutie Utility Basket,Intermediate,Worsted,Wool,525,,US J (6 mm) hook,https://www.crochet.com/cutie-utility-basket/p/14329D
Czarina Crown,Intermediate,"Bulky, Super Bulky",,75-100,,L/8.0mm crochet hook,https://www.crochet.com/czarina-crown/p/18810D
Dahlia Wrap,Intermediate,Fingering,Wool,400,Crochet,H/5.0mm crochet hook,https://www.crochet.com/dahlia-wrap/p/18225D
Daisies & Leaves,Intermediate,"DK, Sport",Wool,50,,C/2.75mm crochet hook,https://www.crochet.com/daisies-leaves/p/15932D
Daisy Tee,Intermediate,Fingering,Alpaca,680-8849,Crochet,F/3.75mm crochet hook,https://www.crochet.com/daisy-tee/p/15589D
Dallas Washcloth,Beginner,Worsted,Cotton,120,,G/4.0mm crochet hook,https://www.crochet.com/dallas-washcloth/p/18832D
Dancing Snowflakes Beanie,Intermediate,Worsted,Wool,188-235,Crochet,Size G/6 (4.00 mm) and Size H/8 (5.00 mm): hooks,https://www.crochet.com/dancing-snowflakes-beanie/p/17803D
Dandelion Lunch Bag,Intermediate,Worsted,Cotton,490,,G/4.0mm and 7/4.5mm crochet hooks,https://www.crochet.com/dandelion-lunch-bag/p/15899D
Dandelion Meadow,Intermediate,"Aran/Heavy Worsted, Worsted",Alpaca,738,,J/6.00mm crochet hook,https://www.crochet.com/dandelion-meadow/p/18463D
Daphne Cocoon Cardigan,Intermediate,Fingering,Wool,900-1400,Crochet,H/5.0mm crochet hook,https://www.crochet.com/daphne-cocoon-cardigan/p/18066D
Dara Knot Blanket,Intermediate,Worsted,Acrylic,1308-3488,,G/4.0mm crochet hook,https://www.crochet.com/dara-knot-blanket/p/56286
Darcy Tote Bag,Intermediate,Worsted,Acrylic,436,,G/4.0mm crochet hook,https://www.crochet.com/darcy-tote-bag/p/56287
Dark Frost,Intermediate,"Lace, Sport",Wool,1445-3725,,"G/4.0mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/dark-frost/p/18638D
Dashing Stripes Shawl,Intermediate,DK,Alpaca,984,Crochet,J/6.0mm crochet hook,https://www.crochet.com/dashing-stripes-shawl/p/54012D
Daydream Shawl,Intermediate,Worsted,Acrylic,550,,"8.0mm Tunisian crochet hook and 40"" cable",https://www.crochet.com/daydream-shawl/p/18307D
Daylight Cowl,Beginner,DK,Wool,369,,J/6.0mm Tunisian crochet hook,https://www.crochet.com/daylight-cowl/p/54015D
Dazzler the Unicorn Headband Pattern,Intermediate,Worsted,Acrylic,1308,,U.S. D/3 (3.25 mm) crochet hook,https://www.crochet.com/dazzler-the-unicorn-headband-pattern/p/58092
Deep Sunset Lace Cardigan,Intermediate,DK,Cotton,861-1230,,G/4.0mm crochet hook,https://www.crochet.com/deep-sunset-lace-cardigan/p/18888D
Delaney Sweater Dress,Intermediate,Sport,Acrylic,1714-3429,,G/4.0mm crochet hook,https://www.crochet.com/delaney-sweater-dress/p/15702D
Delicate Tweed Boot Cuff,Intermediate,Fingering,Wool,430-460,,G/4.0mm crochet hook,https://www.crochet.com/delicate-tweed-boot-cuff/p/18770D
Desert Hills Throw,Intermediate,Sport,Wool,2624,,G/6 (4.00mm) crochet hook,https://www.crochet.com/desert-hills-throw/p/56335
Desert Landscape Wall Hanging,Intermediate,"Worsted, Fingering",Cotton,950,,E/3.5mm crochet hook,https://www.crochet.com/desert-landscape-wall-hanging/p/18711D
Desert Stroll Tank,Intermediate,Fingering,Wool,525-1675,,F/3.75mm crochet hook,https://www.crochet.com/desert-stroll-tank/p/15729D
Design Your Own Sea Creature Pattern,Intermediate,Worsted,Cotton,872,,U.S. G/6 (4 mm) crochet hook,https://www.crochet.com/design-your-own-sea-creature-pattern/p/58093
Dewdrop Back Scrubber,Intermediate,Worsted,Cotton,380-570,,I/9 (5.5mm) crochet hook,https://www.crochet.com/dewdrop-back-scrubber/p/55072
Diamante Pullover,Intermediate,DK,Alpaca,1360-2304,Crochet,H/5.0mm crochet hook,https://www.crochet.com/diamante-pullover/p/18874D
Diametro Throw Pillow,Beginner,"Worsted, Aran/Heavy Worsted",Alpaca,650-930,,H/5.0mm crochet hook,https://www.crochet.com/diametro-throw-pillow/p/18725D
Diamond Drift Dishcloth,Intermediate,Worsted,Cotton,130-570,,G/4.0mm crochet hook,https://www.crochet.com/diamond-drift-dishcloth/p/18581D
Diamonds Hexagon Blanket,Intermediate,Worsted,Wool,2165-3444,,7/4.5mm crochet hook,https://www.crochet.com/diamonds-hexagon-blanket/p/11111D
Diamonds in the Puffs Placemat,Beginner,"Sport, DK",Cotton,270,,E/3.5mm crochet hook,https://www.crochet.com/diamonds-in-the-puffs-placemat/p/18847D
Diamonds in the Puffs Rug,Intermediate,Worsted,Cotton,900-1800,,G/4.0mm crochet hook,https://www.crochet.com/diamonds-in-the-puffs-rug/p/15984D
Diamonds in the Puffs Tote Bag,Intermediate,Worsted,Cotton,385-750,,G/4.0mm crochet hook,https://www.crochet.com/diamonds-in-the-puffs-tote-bag/p/15985D
Dinosaur Hat,Intermediate,Sport,Cotton,159-304,,E/3.5mm crochet hook,https://www.crochet.com/dinosaur-hat/p/18786D
Distant Fog Sweater Dress,Intermediate,"Aran/Heavy Worsted, Worsted",Alpaca,1650-2425,,7/4.5mm crochet hook,https://www.crochet.com/distant-fog-sweater-dress/p/15730D
Divine Scarf,Beginner,Worsted,Wool,1248,Crochet,I/5.5mm crochet hook,https://www.crochet.com/divine-scarf/p/15584D
Dogwood Cardigan,Intermediate,Bulky,Wool,1096-1644,,US K/10.5 (6.5 mm) Crochet hook,https://www.crochet.com/dogwood-cardigan/p/55053D
Done in a Day Slipper Boots,Intermediate,Super Bulky,Wool,340-510,,L/8.0mm crochet hook,https://www.crochet.com/done-in-a-day-slipper-boots/p/18301D
Dot to Dot Lapghan,Intermediate,Bulky,Wool,822,,,https://www.crochet.com/dot-to-dot-lapghan/p/58218
Double Agent,Intermediate,"Super Bulky, Bulky",,504,,L/8.0mm crochet hook,https://www.crochet.com/double-agent/p/15573D
Drawstring Gift Bags - Tunisian Crochet Pattern,Intermediate,Sport,Cotton,20-240,,"G/4.0mm crochet hook (for beginning chain only), H/5.0mm Tunisian crochet hook",https://www.crochet.com/drawstring-gift-bags-tunisian-crochet-pattern/p/11936D
Drift Beanie,Beginner,Worsted,Wool,170,,H/5.0mm crochet hook,https://www.crochet.com/drift-beanie/p/13061D
Dusk Camisole Pattern,Intermediate,Lace,Cotton,1180-2065,,U.S. size D/3 (3.25 mm) crochet hook,https://www.crochet.com/dusk-camisole-pattern/p/58080
Earthy Eclectic Pillow,Intermediate,Worsted,Wool,436,,I/5.5mm crochet hook,https://www.crochet.com/earthy-eclectic-pillow/p/18708D
Easy Crochet Crop Top,Beginner,DK,Cotton,275-490,,E/3.5mm crochet hook,https://www.crochet.com/easy-crochet-crop-top/p/18475D
Easy School Colors Hat and Scarf,Intermediate,"Aran/Heavy Worsted, Worsted",Cotton,426-568,,J/6.00mm crochet hook,https://www.crochet.com/easy-school-colors-hat-and-scarf/p/18861D
Easy Striped Tank Top,Intermediate,DK,Wool,492-984,,H/5.0mm crochet hook,https://www.crochet.com/easy-striped-tank-top/p/18903D
Eclipse Cowl,Beginner,Super Bulky,Acrylic,148,Crochet,Circular knitting needle size 11 (8 mm),https://www.crochet.com/eclipse-cowl/p/N3745
Edelweiss Earwarmer,Intermediate,Fingering,Wool,366,,Size G/6 (4.0mm) Crochet hook,https://www.crochet.com/edelweiss-earwarmer/p/58251
Edgemerc,Intermediate,Worsted,Alpaca,5256,,I/5.5mm crochet hook,https://www.crochet.com/edgemerc/p/15766D
Edgewater Tank Top,Intermediate,Worsted,,566-1131,Crochet,H/5.0mm crochet hook,https://www.crochet.com/edgewater-tank-top/p/N16018D
Edgewater Washcloth,Beginner,Worsted,Cotton,98,,H/5.0mm crochet hook,https://www.crochet.com/edgewater-washcloth/p/18899D
Edith Wrap,Intermediate,Fingering,Wool,800,,"US H/8 (5.0mm) Crochet hook & US J/10 (6.0mm) Crochet hook (optional, to provide a stretch foundation chain",https://www.crochet.com/edith-wrap/p/58023
Efficient Blanket,Beginner,Bulky,Cotton,1480,,10mm crochet hook,https://www.crochet.com/efficient-blanket/p/15574D
Efficient Pullover,Intermediate,Bulky,Acrylic,820-1360,,N/10mm crochet hook,https://www.crochet.com/efficient-pullover/p/18631D
Efficient Wrap,Intermediate,Bulky,Cotton,625-1130,Crochet,N/10mm crochet hook,https://www.crochet.com/efficient-wrap/p/18805D
Efflorescence Throw,Intermediate,Worsted,Wool,2420,,US H/8 (5mm) crochet hook.,https://www.crochet.com/efflorescence-throw/p/51376D
Effortless Oversized Top,Beginner,Fingering,Wool,2420-3300,Crochet,US H/8 (5.0mm) Crochet hook,https://www.crochet.com/effortless-oversized-top/p/58011
Egmont Shawl,Intermediate,DK,Wool,738,,J/6.00mm crochet hook,https://www.crochet.com/egmont-shawl/p/12424D
Elf's Stocking Pattern,Intermediate,"Super Bulky, Worsted",Acrylic,507,,Sizes I/9 (5.5mm) & M/13 (9mm) Crochet hook,https://www.crochet.com/elf-s-stocking-pattern/p/54092D
Elinor Pullover,Intermediate,DK,Alpaca,1113-2594,,G/4.0mm crochet hook,https://www.crochet.com/elinor-pullover/p/15778D
Ember Infinity Scarf,Intermediate,Bulky,Wool,685,,K/10.5 (6.5mm) Crochet hook,https://www.crochet.com/ember-infinity-scarf/p/58283
Emmett Beanie,Intermediate,Worsted,Acrylic,120-240,,"7/4.5mm crochet hook, I/5.5mm crochet hook",https://www.crochet.com/emmett-beanie/p/18179D
Emmett Candle/Jar Cozy,Intermediate,Worsted,Cotton,190,,H/5.0mm crochet hook,https://www.crochet.com/emmett-candle-jar-cozy/p/18199D
Enamored Shawl,Intermediate,Fingering,Wool,1384,,D/3.25mm crochet hook,https://www.crochet.com/enamored-shawl/p/18595D
Entwined Scarf,Intermediate,Worsted,Wool,580,,L/8.0mm crochet hook,https://www.crochet.com/entwined-scarf/p/18782D
Esker Throw,,Worsted,,282-12719,Crochet,I/5.5mm crochet hook,https://www.crochet.com/esker-throw/p/N16097D
Essential Beanie,Intermediate,DK,,280-325,Crochet,G/4.0mm crochet hook,https://www.crochet.com/essential-beanie/p/N3905
Eucalyptus Coaster,Intermediate,Worsted,Cotton,46,,H/5.0mm crochet hook,https://www.crochet.com/eucalyptus-coaster/p/18180D
Evelyn Lace Wrap,Intermediate,DK,Cotton,880,,G/4.0mm crochet hook,https://www.crochet.com/evelyn-lace-wrap/p/18771D
Evelyn Sweater,Intermediate,Fingering,Wool,1184-2937,,G/4.0mm crochet hook,https://www.crochet.com/evelyn-sweater/p/15755D
Eventide Skirt,Intermediate,Fingering,Cotton,2160-3240,,U.S. size D/3 (3.25 mm) crochet hook,https://www.crochet.com/eventide-skirt/p/58084
Everyday Beanie,Beginner,Worsted,Wool,66-231,,7/4.5mm crochet hook,https://www.crochet.com/everyday-beanie/p/18399D
Explorer's Mittens,Intermediate,Worsted,Wool,256,,I/5.5mm crochet hook,https://www.crochet.com/explorer-s-mittens/p/15756D
Ezra Cable Pullover,Intermediate,Fingering,Wool,460-2760,,G/6 (4.0mm) &  I/9 (5.5mm) crochet hook  & US K/10.5 (6.5mm) Tunisian crochet hook with a 24-32” cord,https://www.crochet.com/ezra-cable-pullover/p/55015D
Facets Cowl,Beginner,"Worsted, Aran/Heavy Worsted",Wool,396,,US G (4.25mm),https://www.crochet.com/facets-cowl/p/58000
Fairy Lights Shawl,Intermediate,Worsted,,1540,Crochet,I/5.5mm crochet hook,https://www.crochet.com/fairy-lights-shawl/p/N2328
Fall Harvest Shawl,Intermediate,Worsted,Wool,810,Crochet,7.00mm crochet hook,https://www.crochet.com/fall-harvest-shawl/p/17978D
Fall Skies and Apple Pies Table Runner,Intermediate,Worsted,Acrylic,1526,,H/5.0mm crochet hook,https://www.crochet.com/fall-skies-and-apple-pies-table-runner/p/18680D
Fall Table Runner,Intermediate,Worsted,Cotton,600,,H/5.0mm crochet hook,https://www.crochet.com/fall-table-runner/p/15125D
Fallen Leaf Afghan,Intermediate,Worsted,Wool,2090,Crochet,G/4.0mm crochet hook,https://www.crochet.com/fallen-leaf-afghan/p/58101
Falling Leaves Ruana,Intermediate,Fingering,Wool,1840-2530,,Size 7 (4.5mm) Crochet hook,https://www.crochet.com/falling-leaves-ruana/p/58246
Farmhouse Candle Cozy,Beginner,Worsted,Cotton,10-14,,H/5.0mm crochet hook,https://www.crochet.com/farmhouse-candle-cozy/p/18911D
Farmhouse Holiday Blanket,Intermediate,Worsted,Wool,3104,,I /5.5 mm crochet hook,https://www.crochet.com/farmhouse-holiday-blanket/p/18141D
Fat Bottom Bag,Intermediate,Worsted,Acrylic,800,,I/5.5 mm crochet hook,https://www.crochet.com/fat-bottom-bag/p/18126D
Faux Fur Amigurumi Sea Turtle,Intermediate,"Super Bulky, Worsted, Bulky",,5-140,Crochet,"7/4.5mm, J/6.0mm, and N/10.0mm crochet hooks",https://www.crochet.com/faux-fur-amigurumi-sea-turtle/p/15911D
Faux Fur Cat Ears Headband,Intermediate,Super Bulky,,70,,"J/6.00mm crochet hook, M/9.00mm crochet hook",https://www.crochet.com/faux-fur-cat-ears-headband/p/18194D
Faux Fur Cat Stocking,Intermediate,"Worsted, Super Bulky",Acrylic,125,,I/5.5mm crochet hook,https://www.crochet.com/faux-fur-cat-stocking/p/15743D
Faux Fur Dog Bone Stocking Bundle,Intermediate,"Super Bulky, Worsted",Acrylic,125-200,,I/5.5mm crochet hook,https://www.crochet.com/faux-fur-dog-bone-stocking-bundle/p/15744D
Faux Fur Elephant Blanket,Intermediate,"Worsted, Super Bulky",Wool,405,,"E/3.5mm, 7/4.5mm, J/6.0mm, and N/10.0mm crochet hooks",https://www.crochet.com/faux-fur-elephant-blanket/p/15933D
Faux Fur Suzette Stocking,Intermediate,"Super Bulky, Worsted",Wool,279,,"G/4.0mm crochet hook, J/6.0mm crochet hook",https://www.crochet.com/faux-fur-suzette-stocking/p/17796D
Faux Fur Unicorn,Intermediate,"Worsted, Super Bulky",Wool,530,,"7/4.5mm, J/6.0mm, and N/10.0mm crochet hooks",https://www.crochet.com/faux-fur-unicorn/p/15885D
Faux Macrame Planter,Intermediate,Worsted,Cotton,100,,4mm Crochet Hook,https://www.crochet.com/faux-macrame-planter/p/17770D
Feather Stitch Mittens and Cowl Set,Intermediate,Bulky,Alpaca,142-280,,L/8.0mm crochet hook,https://www.crochet.com/feather-stitch-mittens-and-cowl-set/p/18772D
Feathers and Fans Cowl,Intermediate,"Fingering, Lace",Silk,246,,Size G (4mm) and Size E (3.5mm) Crochet Hooks,https://www.crochet.com/feathers-and-fans-cowl/p/13719D
Ferguson Washcloth,Beginner,Worsted,Cotton,95,,I/5.5mm crochet hook,https://www.crochet.com/ferguson-washcloth/p/18806D
Fernanda Motif Shawl,Intermediate,DK,Wool,1107,,H/5.0mm crochet hook,https://www.crochet.com/fernanda-motif-shawl/p/15887D
Festive Overlay Mosaic Stocking,Intermediate,Sport,Wool,685,,Size G/6 (4mm) Crochet hook,https://www.crochet.com/festive-overlay-mosaic-stocking/p/54090D
Fibonacci Fade Shawl,Intermediate,Fingering,Alpaca,1650,,I/5.5mm Tunisian crochet hook,https://www.crochet.com/fibonacci-fade-shawl/p/18811D
Fiesta Tote Bag,Intermediate,Worsted,Cotton,760,,US E/4 (3.50mm) Crochet Hook,https://www.crochet.com/fiesta-tote-bag/p/58002
Filet Crochet Market Bag,Intermediate,DK,Cotton,492,,Size G (4.0mm) Crochet hook,https://www.crochet.com/filet-crochet-market-bag/p/58066
Filet Crochet Scarf with 3D Cubes,Intermediate,DK,Cotton,300,,G/4.0mm crochet hook,https://www.crochet.com/filet-crochet-scarf-with-3d-cubes/p/15927D
Filet Poncho,Intermediate,Worsted,Wool,1600-2000,,I /5.5 mm crochet hook,https://www.crochet.com/filet-poncho/p/18089D
Final Flurries,Intermediate,Bulky,Alpaca,284-426,,K/6.5mm crochet hook,https://www.crochet.com/final-flurries/p/14555D
Fingerpaint Beanie,Intermediate,Sport,Wool,984,,Sizes D/3 (3.25mm) & E/4 (3.5mm) Crochet hook,https://www.crochet.com/fingerpaint-beanie/p/56333
Fiona Cable Lace Pillow,Intermediate,Worsted,Wool,447,,H/5.0mm crochet hook,https://www.crochet.com/fiona-cable-lace-pillow/p/18648D
First Bud Scarf,Intermediate,Fingering,Wool,298,,G/4mm crochet hook,https://www.crochet.com/first-bud-scarf/p/18129D
Fisherman Cap,Beginner,Worsted,Acrylic,87-218,,K/6.5mm crochet hook,https://www.crochet.com/fisherman-cap/p/15774D
Fitzy Baby Cardigan,Intermediate,DK,Alpaca,345-680,,"I/5.5mm crochet hook, H/5.0mm crochet hook, G/4.0mm crochet hook",https://www.crochet.com/fitzy-baby-cardigan/p/18936D
Flikka Flamingo,Intermediate,"Worsted, Super Bulky",Acrylic,94,,E/3.5 mm and I/5.5 mm crochet hook,https://www.crochet.com/flikka-flamingo/p/17980D
Flirty Frills Pullover,Intermediate,DK,Alpaca,1549-2523,Crochet,F/3.75mm crochet hook,https://www.crochet.com/flirty-frills-pullover/p/18875D
Floral Triangle Bunting,Intermediate,Sport,Cotton,108,,E/3.5mm crochet hook,https://www.crochet.com/floral-triangle-bunting/p/15737D
Florence Sweater,Intermediate,Sport,Acrylic,1280-2352,,H/5.0mm crochet hook,https://www.crochet.com/florence-sweater/p/18628D
Flower & Leaves,Intermediate,Sport,Wool,80,,C/2.75mm crochet hook,https://www.crochet.com/flower-leaves/p/18668D
Fluffle the Bear,Intermediate,"Worsted, Super Bulky",,171,,J/6.00mm crochet hook,https://www.crochet.com/fluffle-the-bear/p/18387D
Fluffy Hottie Cover,Intermediate,Bulky,Alpaca,142,,J/6.00mm crochet hook,https://www.crochet.com/fluffy-hottie-cover/p/18773D
Follow Your Path Cowl,Intermediate,Sport,Cotton,369,,J/6.00mm crochet hook,https://www.crochet.com/follow-your-path-cowl/p/15539D
Forest Path Blanket,Intermediate,Worsted,Wool,3080,,US H/8 (5.00mm) crochet hook.,https://www.crochet.com/forest-path-blanket/p/51378D
Forest of Dean Shawl,Intermediate,Fingering,Wool,924,,"US G/6 (4.00mm) Crochet Hook & US F/5 (3.75mm) for top 
edging",https://www.crochet.com/forest-of-dean-shawl/p/58017
For the Love of Bobbles,Intermediate,DK,Wool,800-1200,,J/6.0mm crochet hook,https://www.crochet.com/for-the-love-of-bobbles/p/18022D
Four Post Cabled Pillow,Intermediate,"Aran/Heavy Worsted, Worsted",Alpaca,984,,J/6.00mm crochet hook,https://www.crochet.com/four-post-cabled-pillow/p/18714D
Four Seasons Shawl,Intermediate,Sport,Cotton,1088,,F/3.75mm crochet hook,https://www.crochet.com/four-seasons-shawl/p/18596D
Four Square Pillow,Beginner,"Worsted, Aran/Heavy Worsted",Alpaca,738,,H/5.0mm crochet hook,https://www.crochet.com/four-square-pillow/p/18712D
Foxglove Lace Tunic,Intermediate,Fingering,Cotton,816-1877,,G/4.0mm crochet hook,https://www.crochet.com/foxglove-lace-tunic/p/18037D
French Market Crochet Tote,Intermediate,Worsted,Cotton,500,,H/5.0mm crochet hook,https://www.crochet.com/french-market-crochet-tote/p/12928D
Froggy Balaclava,Intermediate,Worsted,Acrylic,348,,G/4.0mm and H/5.0mm crochet hooks,https://www.crochet.com/froggy-balaclava/p/15750D
Froggy Bandana,Intermediate,Worsted,Acrylic,56,,"G/4.0mm crochet hook, H/5.0mm crochet hook",https://www.crochet.com/froggy-bandana/p/18842D
Froggy Earmuffs,Intermediate,"Worsted, Aran/Heavy Worsted",Cotton,140,,2.0mm and D/3.25mm crochet hook,https://www.crochet.com/froggy-earmuffs/p/15735D
Froggy Earrings,Intermediate,Worsted,Acrylic,22,,C/2.75mm crochet hook,https://www.crochet.com/froggy-earrings/p/15601D
Froggy Zip Pouch,Intermediate,"DK, Worsted",Acrylic,83,,3.0mm crochet hook,https://www.crochet.com/froggy-zip-pouch/p/15739D
Funnel of Love Vest,Intermediate,"Bulky, Aran/Heavy Worsted",Alpaca,800-1400,,J/6.00mm crochet hook,https://www.crochet.com/funnel-of-love-vest/p/18589D
Fuzzy Bunny Beret,Intermediate,Super Bulky,,114-172,Crochet,9mm crochet hook,https://www.crochet.com/fuzzy-bunny-beret/p/18015D
Fuzzy Peach Cardigan,Intermediate,"Worsted, Lace",Acrylic,2125-3690,,Size H/8 (5mm) and Size I/9 (5.5mm): hooks,https://www.crochet.com/fuzzy-peach-cardigan/p/17847D
Gansey Sweater,Intermediate,Worsted,Wool,1210-1540,,US I/9 (5.5mm) Crochet Hook,https://www.crochet.com/gansey-sweater/p/58006
Gathering Basket,Intermediate,Worsted,Cotton,1140,,Size H/8 (5.0mm) Crochet hook,https://www.crochet.com/gathering-basket/p/54027D
Gathering Table Runner,Intermediate,"Worsted, DK",Cotton,1140,Crochet,H/8 (5 mm) hook,https://www.crochet.com/gathering-table-runner/p/56362
