Title,Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Link
Ebun Hat,3. Intermediate,,,Weight 4 - Medium,"5 mm (H-8) , 5.5 mm (I-9)","Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Neutral , Pink","Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ebun-hat/
Broadquay Blanket,3. Intermediate,Knit Picks,Brava Worsted,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Half Double Crochet Two Together , Single Crochet , Slip Stitch , Triple Crochet",Brown,Brown,https://easycrochet.com/partner/broadquay-blanket/
Crossbody Bag,3. Intermediate,Lion Brand,For The Home Cording,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Single Crochet Two Together , Slip Stitch",,Crochet Bags & Purses,https://easycrochet.com/partner/crossbody-bag/
Michelle Beanie,2. Easy,Hobby Lobby,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Puff , Single Crochet",,"Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/michelle-beanie/
Michelle Scarf,2. Easy,Hobby Lobby,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Puff , Single Crochet",,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/michelle-scarf/
Easy Crochet Baby Blanket,2. Easy,Premier Yarns,,Weight 4 - Medium,6 mm (J-10),Double Crochet,Pink,Crochet Baby Blankets,https://easycrochet.com/partner/easy-crochet-baby-blanket/
Crochet Adult Slipper Boots Worked Flat,1. Basic,,,Weight 4 - Medium,"4 mm (G-6) , 5 mm (H-8)","Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",,"Crochet Footwear This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-adult-slipper-boots-worked-flat/
Solstice Fingerless Mitts,2. Easy,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,"Neutral , White",Neutral,https://easycrochet.com/partner/solstice-fingerless-mitts/
Solstice Winter Hat,2. Easy,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,"Neutral , White",Neutral,https://easycrochet.com/partner/solstice-winter-hat/
Crochet Baby Booties Worked Flat,1. Basic,,,Weight 4 - Medium,3.5 mm (E-4),"Half Double Crochet , Single Crochet",,"Baby Booties This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-baby-booties-worked-flat/
Crochet Twisted Headband,2. Easy,,,Weight 4 - Medium,5 mm (H-8),,"Pink , White","Crochet Ear Warmers & Headbands This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-twisted-headband/
Crochet Knit Look Ribbed Scarf,2. Easy,,,Weight 4 - Medium,6 mm (J-10),,,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-knit-look-ribbed-scarf/
Easy Peasy Crochet Cowl Pattern,2. Easy,,,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Single Crochet",,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-peasy-crochet-cowl-pattern-2/
Christmas Mini Hat Ornaments Crochet,2. Easy,,,Weight 4 - Medium,4.5 mm (7),"Half Double Crochet , Half Double Crochet Back Loop , Slip Stitch","Gray , Neutral","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/christmas-mini-hat-ornaments-crochet/
Crochet A Single Crochet Spiral,2. Easy,,,Weight 4 - Medium,5 mm (H-8),Single Crochet Back Loop,Gray,"Crochet Tutorials This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-a-single-crochet-spiral/
Elsam Blanket,,,,Weight 4 - Medium,6.5 mm (K-10.5),Tunisian Simple Stitch,"Brown , Gray","Crochet Baby Blankets https://youtu.be/GpK4_FMf2Qg This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/elsam-blanket/
Diamond Crochet Table Runner,2. Easy,,,Weight 4 - Medium,,,,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/diamond-crochet-table-runner/
Astronaut Cuddler,,,,Weight 4 - Medium,4 mm (G-6),Single Crochet,,"Amigurumi This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/astronaut-cuddler/
Textured Cowl Scarf Crochet Pattern,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,,Crochet Cowls,https://easycrochet.com/cowl-scarf-crochet-pattern/
Elongated Single Crochet Stitch,2. Easy,,,Weight 4 - Medium,"4.5 mm (7) , 5 mm (H-8)",Single Crochet,Neutral,Crochet,https://easycrochet.com/partner/elongated-single-crochet-stitch/
Christmas Pine Tree Crochet Washcloths,2. Easy,"Lion Brand , Yarnspirations","Lily Sugar'n Cream , Pima Cotton",Weight 4 - Medium,5 mm (H-8),Single Crochet,Neutral,Neutral,https://easycrochet.com/christmas-pine-crochet-washcloths/
Crochet Infinity Scarf,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Shell Stitch , Single Crochet","Gray , Variegated , White","Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-infinity-scarf/
Striped Fall Placemats,,,,,,,,,
Free and Easy Crochet Sunflower To Make this Fall,2. Easy,Lion Brand,"Heartland , Skein Tones",Weight 4 - Medium,5.5 mm (I-9),"Bobble , Double Crochet , Half Double Crochet , Single Crochet , Triple Crochet","Brown , Yellow",Brown,https://easycrochet.com/sunflower-crochet-pattern/
How to Crochet a Cable Stitch,3. Intermediate,Lion Brand,Heartland,Weight 4 - Medium,,,,Crochet,https://easycrochet.com/how-to-crochet-cables/
The Kimberly Scarf,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/the-kimberly-scarf/
Crochet Double Waffle Stitch,2. Easy,Lion Brand,Feels Like Butta,Weight 4 - Medium,5 mm (H-8),Double Crochet,Gray,Gray,https://easycrochet.com/partner/crochet-double-waffle-stitch/
Peek-A-Boo Beanie,3. Intermediate,Caron Yarn,Simply Soft,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Half Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/partner/peek-a-boo-beanie/
Simple Pot Scrubber,1. Basic,Lion Brand,Stitch Soak Scrub,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Slip Stitch",,Crochet Home DÃ©cor,https://easycrochet.com/partner/simple-pot-scrubber/
Peek-A-Boo Scarf,3. Intermediate,Caron Yarn,Simply Soft,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Half Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/partner/peek-a-boo-scarf/
Beaded Scarf,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,6 mm (J-10),Double Crochet,Green,Green,https://easycrochet.com/partner/beaded-scarf/
Almost Solid Granny Square Pattern (2 Sizes),2. Easy,Lion Brand,Skein Tones,Weight 4 - Medium,5 mm (H-8),Double Crochet,,Crochet Squares,https://easycrochet.com/how-to-crochet-a-solid-granny-square-pattern/
Mosaic Christmas Tree Blanket,,,,,,,,,
Cute Labrador Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,4 mm (G-6),Single Crochet,"Black , Brown",Black,https://easycrochet.com/partner/cute-labrador-pattern/
Crochet Crossbody Bag,2. Easy,Hobby Lobby,,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Slip Stitch",Neutral,Crochet Bags & Purses,https://easycrochet.com/partner/crochet-crossbody-bag/
Sedge Stitch Crochet,2. Easy,Lion Brand,Basic Stitch Yarn,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/sedge-stitch-crochet/
The Modern Tote Bag,2. Easy,Hobby Lobby,,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Slip Stitch","Blue , Neutral",Crochet Bags & Purses,https://easycrochet.com/partner/the-modern-tote-bag/
Rainbow Double Dot Blanket,2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5 mm (H-8),"Bobble , Half Double Crochet",Variegated,Variegated,https://easycrochet.com/partner/rainbow-double-dot-blanket/
Half Double Crochet Forest Stitch,3. Intermediate,Lion Brand,Basic Stitch Yarn,Weight 4 - Medium,5 mm (H-8),Half Double Crochet,Neutral,Neutral,https://easycrochet.com/partner/half-double-crochet-forest-stitch/
Raised Square Crochet Blanket Motif,2. Easy,,,Weight 4 - Medium,4 mm (G-6),,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/raised-square-crochet-blanket-motif/
Colorful Teardrop Baby Blanket Pattern,2. Easy,Red Heart,Red Heart Soft,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Triple Crochet","Green , Pink , Variegated",Green,https://easycrochet.com/partner/colorful-teardrop-baby-blanket-pattern/
Crochet Kitchen Towel Pattern,2. Easy,WeCrochet,Dishie,Weight 4 - Medium,5.5 mm (I-9),Half Double Crochet,"Gray , White",Gray,https://easycrochet.com/partner/crochet-kitchen-towel-pattern/
How to Make a Crochet Rib Stitch (Photo Tutorial),2. Easy,Bernat,Bundle Up,Weight 4 - Medium,,,,Crochet,https://easycrochet.com/how-to-make-a-crochet-rib-stitch-photo-tutorial/
How To Crochet Mini Round Doily,2. Easy,,,Weight 4 - Medium,4 mm (G-6),,Neutral,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/how-to-crochet-mini-round-doily/
Crochet Fringe Edging (With Chains!),2. Easy,WeCrochet,Comfy,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,Blue,Blue,https://easycrochet.com/how-to-make-a-crochet-fringe-edging-with-chains/
Easy Textured Crochet Scarf Pattern,2. Easy,,,Weight 4 - Medium,4 mm (G-6),,,"Crochet Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-textured-crochet-scarf-pattern/
Ocean Breeze Crochet Scarf with Fringe,2. Easy,Caron Yarn,Caron Cakes,Weight 4 - Medium,"5 mm (H-8) , 6 mm (J-10)",Half Double Crochet Back Loop,Blue,Blue,https://easycrochet.com/partner/ocean-breeze-crochet-scarf-with-fringe/
Crochet Laptop Case,2. Easy,Lion Brand,Vel-Luxe Yarn,Weight 4 - Medium,4 mm (G-6),Half Double Crochet,Pink,Pink,https://easycrochet.com/partner/crochet-laptop-case/
Diamond Mosaic Blanket,2. Easy,Rowan,,Weight 4 - Medium,6 mm (J-10),Single Crochet Back Loop,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/diamond-mosaic-blanket/
Cluster Buster Crochet Round Potholder,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Double Crochet,,"Crochet Kitchen This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cluster-buster-crochet-round-potholder/
Ridged Crochet Fingerless Gloves,2. Easy,WeCrochet,Comfy Worsted,Weight 4 - Medium,"4.5 mm (7) , 5.5 mm (I-9)",Single Crochet Back Loop,White,White,https://easycrochet.com/partner/ridged-crochet-fingerless-gloves/
How To Crochet a Heart Bookmark,2. Easy,,,Weight 4 - Medium,4 mm (G-6),,,"Crochet Valentine's Day Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/how-to-crochet-a-heart-bookmark-last-minute-valentines-day-gift-idea/
Diamonds in the Puff Pillow,,,,,,,,,
The Flora Quilt,3. Intermediate,WeCrochet,,Weight 4 - Medium,4.5 mm (7),,,"Crochet Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/the-flora-quilt/
Crochet Lotus Laptop Case,2. Easy,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,4 mm (G-6),"Puff , Single Crochet",Pink,Pink,https://easycrochet.com/partner/crochet-lotus-laptop-case/
Primrose Stitch Baby Blanket,2. Easy,Bernat,Bundle Up,Weight 4 - Medium,3.75 mm (F-5),"Double Crochet , Half Double Crochet",Pink,Pink,https://easycrochet.com/partner/primrose-baby-blanket/
Crochet Easy Cowl,2. Easy,,,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Orange,"Crochet Cowls This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-easy-cowl/
Lagoon Baby Blanket,2. Easy,Bernat,Bundle Up,Weight 4 - Medium,3.75 mm (F-5),"Double Crochet , Single Crochet Back Loop",Blue,Blue,https://easycrochet.com/partner/lagoon-baby-blanket/
Stained Glass Ear Warmer,2. Easy,Red Heart,Unforgettable,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet",Variegated,Variegated,https://easycrochet.com/partner/stained-glass-ear-warmer/
Golden Brown Infinity Scarf,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Slip Stitch",Brown,Brown,https://easycrochet.com/partner/golden-brown-infinity-scarf/
Two Tone Ear Warmer,2. Easy,Lion Brand,Homespun,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Single Crochet Back Loop","Gray , Red",Gray,https://easycrochet.com/partner/two-tone-ear-warmer/
Tunisian Crochet Kitchen Towel,3. Intermediate,Hobby Lobby,,Weight 4 - Medium,6.5 mm (K-10.5),"Slip Stitch , Tunisian Simple Stitch",Neutral,Crochet Home DÃ©cor,https://easycrochet.com/partner/tunisian-crochet-kitchen-towel/
Easy Triple Infinity Scarf,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Triple Crochet",,Crochet Infinity Scarves,https://easycrochet.com/partner/easy-triple-infinity-scarf/
Blue Waves Hat,2. Easy,,,Weight 4 - Medium,,Single Crochet,"Blue , Variegated","Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/blue-waves-hat/
Tranquil Blue Rectangular Shawl,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),Double Crochet,Blue,Blue,https://easycrochet.com/partner/tranquil-blue-rectangular-shawl/
Tie Dye Easy Crochet Headband,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),Single Crochet,Variegated,Variegated,https://easycrochet.com/partner/tie-dye-easy-crochet-headband/
Blue Bobble Baby Blanket,2. Easy,Bernat,Bundle Up,Weight 4 - Medium,3.75 mm (F-5),"Bobble , Double Crochet",Blue,Blue,https://easycrochet.com/partner/blue-bobble-baby-blanket/
Warm & Cool Bean Stitch Blanket,2. Easy,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),,"Blue , Orange",Crochet Blankets,https://easycrochet.com/partner/warm-cool-bean-stitch-blanket/
Easy V Stitch Crochet Scarf,1. Basic,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),Half Double Crochet,Variegated,Variegated,https://easycrochet.com/partner/easy-v-stitch-crochet-scarf/
Christmas Crochet Gift Card Holder,2. Easy,,,Weight 4 - Medium,4 mm (G-6),,Green,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/christmas-crochet-gift-card-holder/
How to Crochet the Shell Stitch (Step-by-Step Instructions),2. Easy,Lion Brand,24/7 Cotton,Weight 4 - Medium,4 mm (G-6),,,Crochet,https://easycrochet.com/crochet-shell-stitch/
Granny Square Cardigan Crochet Pattern,,,,,,,,,
The Willow Crochet Mitten Pattern,,,,,,,,,
Sapphire Haze Crochet Round Doily,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Puff",Blue,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/sapphire-haze-crochet-round-doily/
Boho Crochet Coasters,1. Basic,WeCrochet,Dishie,Weight 4 - Medium,4 mm (G-6),Double Crochet,Neutral,Neutral,https://easycrochet.com/partner/boho-crochet-coasters/
Crochet Santa Face Ornament,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Single Crochet",,"Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/crochet-santa-face-ornament/
Easy Fringed Weekend Poncho,,,,,,,,,
Crochet Blanket Shrug,2. Easy,Loops and Threads,CrÃ¨me Cotton,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Blue,Blue,https://easycrochet.com/partner/crochet-blanket-shrug/
How To Crochet an Easy Candy Cane,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Single Crochet,"Red , White","Christmas Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/how-to-crochet-a-easy-candy-cane/
Crochet Christmas Tree Potholder,2. Easy,Hobby Lobby,,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Single Crochet Back Loop , Slip Stitch","Green , Neutral , Red",Christmas Crochet Patterns,https://easycrochet.com/partner/crochet-christmas-tree-potholder/
Cozy Cotton Crochet Throw,2. Easy,Loops and Threads,CrÃ¨me Cotton,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Puff , Single Crochet",Neutral,Neutral,https://easycrochet.com/partner/cozy-cotton-crochet-throw/
Crochet Granny Square Body Pillow,1. Basic,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,5 mm (H-8),Double Crochet,White,White,https://easycrochet.com/partner/crochet-granny-square-body-pillow/
Modern Double Thick Crochet Potholders,2. Easy,WeCrochet,Dishie,Weight 4 - Medium,5.5 mm (I-9),"Single Crochet , Single Crochet Back Loop , Slip Stitch",Neutral,Neutral,https://easycrochet.com/partner/modern-double-thick-crochet-potholders/
Easy Crochet Autumn Scarf,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Single Crochet",Variegated,"Crochet Fall Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-crochet-autumn-scarf/
Rustic Crochet Dishcloths,2. Easy,WeCrochet,Dishie,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Single Crochet","Orange , White",Orange,https://easycrochet.com/partner/rustic-crochet-dishcloths/
Simple Crochet Blanket,1. Basic,Loops and Threads,CrÃ¨me Cotton,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",White,White,https://easycrochet.com/partner/simple-crochet-blanket/
Ice Cream Cone Potholder,2. Easy,,,Weight 4 - Medium,6 mm (J-10),Single Crochet,,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ice-cream-cone-potholder/
Halloween Applique Bunting Crochet Garland,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Single Crochet,"Green , Orange , Purple","Halloween Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/halloween-applique-bunting-crochet-garland/
Spill the Beans Crochet Pillow,2. Easy,Hobby Lobby,,Weight 4 - Medium,5.5 mm (I-9),Puff,Variegated,Crochet Home DÃ©cor,https://easycrochet.com/partner/spill-the-beans-crochet-pillow/
Beach Vibes Crochet Bottle Holder,1. Basic,Lion Brand,Nuboo,Weight 4 - Medium,5 mm (H-8),"Single Crochet , Single Crochet Back Loop",,Crochet Bags & Purses,https://easycrochet.com/partner/beach-vibes-crochet-bottle-holder/
Summer Leaves Triangle Scarf,2. Easy,Loops and Threads,,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Triple Crochet",Yellow,Crochet Shawls & Wraps,https://easycrochet.com/partner/summer-leaves-triangle-scarf/
Widcombe C2C Crochet Hat,3. Intermediate,WeCrochet,Wool of the Andes Worsted,Weight 4 - Medium,4.5 mm (7),Half Double Crochet,"Black , White",Black,https://easycrochet.com/partner/widcombe-c2c-crochet-hat/
Pebbles and Stars Beach Throw,2. Easy,Caron Yarn,Simply Soft,Weight 4 - Medium,5 mm (H-8),"Bobble , Single Crochet","Blue , Red",Blue,https://easycrochet.com/partner/pebbles-and-stars-beach-throw/
Winding Cables Hat,2. Easy,,,Weight 4 - Medium,5.5 mm (I-9),"Tunisian Knit Stitch , Tunisian Simple Stitch",Yellow,"Crochet Hats This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/winding-cables-hat/
Pumpkin Spice Doily Potholder,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Double Crochet,"Green , Orange","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/pumpkin-spice-doily-potholder/
Ruffled Mini Flower Doily,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Slip Stitch",Pink,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ruffled-mini-flower-doily/
Cowl Neck Poncho Sweater,2. Easy,,,Weight 4 - Medium,6 mm (J-10),"Half Double Crochet , Half Double Crochet Back Loop , Moss / Linen , Single Crochet",Blue,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/cowl-neck-poncho-sweater/
Two Shades Ombre Crochet Doily,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Double Crochet,"Gray , White","Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/two-shades-ombre-crochet-doily/
Bat Scrubby,2. Easy,Red Heart,Scrubby,Weight 4 - Medium,4 mm (G-6),"Half Double Crochet , Single Crochet",,Crochet Holiday,https://easycrochet.com/partner/bat-scrubby/
Easy Infinity Scarf,2. Easy,,,Weight 4 - Medium,6 mm (J-10),Double Crochet,White,"Crochet Infinity Scarves This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/easy-infinity-scarf/
Crochet Ghost Halloween C2C Blanket Pattern,3. Intermediate,Lion Brand,"Pound of Love , Vanna's Choice",Weight 4 - Medium,6 mm (J-10),Double Crochet,Gray,Gray,https://easycrochet.com/crochet-ghost-c2c-square-pattern/
Taco Scrubby,2. Easy,,,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Puff , Single Crochet","Green , Red , Yellow","Crochet Bathroom This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/taco-scrubby/
Slot Machine Pillow,3. Intermediate,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,"Black , Red , White , Yellow",Black,https://easycrochet.com/partner/slot-machine-pillow/
Blessed Three Star Coaster,2. Easy,,,Weight 4 - Medium,4.5 mm (7),Tunisian Knit Stitch,,"Crochet Home DÃ©cor This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/blessed-three-star-coaster/
Zebra Coin Purse,2. Easy,,,Weight 4 - Medium,4 mm (G-6),Single Crochet,"Black , Variegated","Crochet Bags & Purses This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/zebra-coin-purse/
Bald Eagle Potholder,2. Easy,,,Weight 4 - Medium,6 mm (J-10),Single Crochet,"Brown , White , Yellow","Crochet Kitchen This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/bald-eagle-potholder/
London Phone Booth Scarf,2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Black , Red , White , Yellow",Black,https://easycrochet.com/partner/london-phone-booth-scarf/
Apple Watch Cover,2. Easy,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,3.5 mm (E-4),Single Crochet,"Green , Red",Green,https://easycrochet.com/partner/apple-watch-cover/
Walcot Beanie Crochet Pattern,2. Easy,WeCrochet,Brava Worsted,Weight 4 - Medium,"5.5 mm (I-9) , 6 mm (J-10)","Double Crochet , Half Double Crochet , Single Crochet",Gray,Gray,https://easycrochet.com/partner/walcot-beanie/
FALL Crochet Pillow Pattern,,,,,,,,,
Ghost Chair Socks,1. Basic,,,Weight 4 - Medium,4 mm (G-6),Single Crochet,White,"Crochet Fall Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/ghost-chair-socks/
Martha’s Retro C2C Crochet Apron,2. Easy,Paintbox Yarn,,Weight 4 - Medium,4.5 mm (7),,"Pink , Red","C2C Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website.",https://easycrochet.com/partner/marthas-retro-c2c-crochet-apron/
Small Dog Bed Crochet Pattern,2. Easy,Caron Yarn,Caron One Pound,Weight 4 - Medium,6 mm (J-10),Double Crochet,Red,Red,https://easycrochet.com/partner/small-dog-bed/
Snowflake Kitchen Boa,3. Intermediate,Hobby Lobby,I Love This Yarn,Weight 4 - Medium,4 mm (G-6),Tunisian Simple Stitch,"Blue , White",Blue,https://easycrochet.com/partner/snowflake-kitchen-boa/
